Depth,Nodes,TimeMs,,,,
8,707205,224,,,,
8,551940,147,,,,
8,703358,198,,,,
8,1793170,513,,,,
8,1614300,497,,,,
8,683223,239,,,,
8,3802010,1014,,,,
8,1239722,353,,,,
8,1250532,376,,,,
8,667442,198,,,,
8,1046018,295,,,,
8,125700,44,,,,
8,189327,56,,,,
8,293533,71,,,,
8,306289,63,,,,
8,146982,39,,,,
8,147446,38,,,,
8,98715,29,,,,
8,87819,21,,,,
8,81537,18,,,,
8,175813,37,,,,
8,147647,39,,,,
8,50413,12,,,,
8,47243,15,,,,
8,59492,15,,,,
8,75176,17,,,,
8,74244,20,,,,
8,108671,26,,,,
8,125580,25,,,,
8,113747,26,,,,
8,184491,44,,,,
8,160604,36,,,,
8,45629,10,,,,
8,132996,36,,,,
8,260078,69,,,,
8,81938,18,,,,
8,171881,42,,,,
8,177277,33,,,,
8,182662,38,,,,
8,159840,36,,,,
8,167688,39,,,,
8,322239,55,,,,
8,88163,16,,,,
8,104985,19,,,,
8,82659,21,,,,
8,136057,34,,,,
8,83448,23,,,,
8,105310,24,,,,
8,152277,29,,,,
8,474953,109,,,,
8,1480375,291,,,,
8,2827798,617,,,,
8,1151507,273,,,,
8,803544,179,,,,
8,377334,78,,,,
8,258027,51,,,,
8,28794851,9750,,,,
8,69486923,23944,,,,
8,77808516,28857,,,,
8,18807152,6537,,,,
8,28090551,9494,,,,
8,17572321,6365,,,,
8,30267245,11585,,,,
8,35627296,13855,,,,
8,20340473,7404,,,,
8,25567388,8900,,,,
8,18512232,6627,,,,
8,16971499,5825,,,,
8,17852444,6287,,,,
8,32344119,10821,,,,
8,18483095,5916,,,,
8,9710568,3325,,,,
8,352,1,,,,
8,352,1,,,,
8,71739266,27232,,,,
8,38516448,14687,,,,
8,41969779,15740,,,,
8,10099356,3914,,,,
8,25213410,8369,,,,
8,741239,232,,,,
8,1339222,439,,,,
8,1409540,449,,,,
8,16253099,5682,,,,
8,8392195,3226,,,,
8,5605381,1815,,,,
8,9894912,3319,,,,
8,6008711,1918,,,,
8,9485836,3120,,,,
8,4145346,1236,,,,
8,6429208,2203,,,,
8,7884716,2423,,,,
8,33509703,10996,,,,
8,12482759,3978,,,,
8,7017705,2356,,,,
8,17414642,6104,,,,
8,9016953,3445,,,,
8,7998124,2745,,,,
8,7577983,2644,,,,
8,7901204,2793,,,,
8,4480872,1505,,,,
8,11499258,3698,,,,
8,12094686,4074,,,,
8,19454456,7105,,,,
8,15235494,5350,,,,
8,25030265,8136,,,,
8,15522976,5608,,,,
8,37518011,11948,,,,
8,17872441,5579,,,,
8,88845954,24764,,,,
8,997416,284,,,,
8,6780094,1870,,,,
8,494023,136,,,,
8,1116856,276,,,,
8,1955470,541,,,,
8,2545618,681,,,,
8,1868173,504,,,,
8,1835096,464,,,,
8,1478831,382,,,,
8,3621925,875,,,,
8,1013654,255,,,,
8,665287,159,,,,
8,731056,190,,,,
8,763762,162,,,,
8,509300,118,,,,
8,25583515,8121,,,,
8,58923934,18834,,,,
8,14907227,4925,,,,
8,29330445,10069,,,,
8,10261132,3749,,,,
8,7018048,2162,,,,
8,8489342,2908,,,,
8,14569962,5303,,,,
8,7251649,2779,,,,
8,10600204,3955,,,,
8,11859229,4201,,,,
8,41000248,15394,,,,
8,7313746,2505,,,,
8,6066972,2254,,,,
8,6399656,2217,,,,
8,21592406,7320,,,,
8,22165377,6890,,,,
8,9852882,3480,,,,
8,36219412,12520,,,,
8,43120656,14285,,,,
8,71542307,23866,,,,
8,5568399,1806,,,,
8,5363568,1870,,,,
8,3014045,1047,,,,
8,21482318,6831,,,,
8,6726072,2324,,,,
8,1867434,598,,,,
8,889738,308,,,,
8,361951,95,,,,
8,535954,114,,,,
8,565343,114,,,,
8,502868,126,,,,
8,411068,100,,,,
8,271186,63,,,,
8,691158,148,,,,
8,307349,64,,,,
8,300519,71,,,,
8,299665,62,,,,
8,154825,34,,,,
8,182516,44,,,,
8,228788,49,,,,
8,206939,50,,,,
8,15315,4,,,,
8,24,1,,,,
8,195166,46,,,,
8,215821,43,,,,
8,280941,54,,,,
8,250367,49,,,,
8,200315,43,,,,
8,149358,29,,,,
8,256731,59,,,,
8,167927,42,,,,
8,320821,92,,,,
8,311156,67,,,,
8,56,1,,,,
8,239106,59,,,,
8,562243,128,,,,
8,237938,48,,,,
8,306000,56,,,,
8,319999,65,,,,
8,371990,87,,,,
8,434114,98,,,,
8,184228,38,,,,
8,263285,57,,,,
8,254783,52,,,,
8,255536,51,,,,
8,156141,30,,,,
8,229577,48,,,,
8,400464,97,,,,
8,290170,62,,,,
8,209890,41,,,,
8,194807,36,,,,
8,292381,54,,,,
8,658475,142,,,,
8,482606,96,,,,
8,394295,76,,,,
8,108376,21,,,,
8,243579,46,,,,
8,391796,74,,,,
8,364621,71,,,,
8,563905,115,,,,
8,308012,73,,,,
8,442252,97,,,,
8,424608,95,,,,
8,135631,25,,,,
8,116282,19,,,,
8,105715,23,,,,
8,126295,22,,,,
8,50034,10,,,,
8,56,1,,,,
8,61696,10,,,,
8,31973,7,,,,
8,41514,9,,,,
8,23548,4,,,,
8,8773,2,,,,
8,19896,5,,,,
8,30891,7,,,,
8,50217,11,,,,
8,48378,11,,,,
8,86849,15,,,,
8,72353,13,,,,
8,63085,12,,,,
8,29419,9,,,,
8,36210,11,,,,
8,34109,9,,,,
8,14176,3,,,,
8,13253,2,,,,
8,37708,6,,,,
8,34730,7,,,,
8,30121,6,,,,
8,48,1,,,,
8,48,1,,,,
8,29124,7,,,,
8,28148,6,,,,
8,31238,6,,,,
8,95908,21,,,,
8,83801,14,,,,
8,22686,5,,,,
8,52324,11,,,,
8,79216,13,,,,
8,55115,9,,,,
8,53943,10,,,,
8,48,1,,,,
8,12129,2,,,,
8,27892,5,,,,
8,30038,5,,,,
8,36147,8,,,,
8,43436,9,,,,
8,49257,13,,,,
8,48,1,,,,
8,222185,41,,,,
8,27925,5,,,,
8,127979,21,,,,
8,93450,24,,,,
8,29525,6,,,,
8,27946688,8729,,,,
8,7001112,2510,,,,
8,7285493,2547,,,,
8,19930760,6064,,,,
8,18378513,5648,,,,
8,38680633,11676,,,,
8,11536115,3758,,,,
8,16272598,5075,,,,
8,42954279,15080,,,,
8,10433172,3842,,,,
8,6674067,4388,,,,
8,2198030,1452,,,,
8,11279205,5670,,,,
8,6689824,2852,,,,
8,19453747,6889,,,,
8,4841647,1539,,,,
8,4395939,1277,,,,
8,3523673,1154,,,,
8,3149415,1073,,,,
8,710729,233,,,,
8,550230,142,,,,
8,347407,106,,,,
8,382443,115,,,,
8,878119,278,,,,
8,532306,147,,,,
8,741313,195,,,,
8,747393,187,,,,
8,783992,212,,,,
8,538729,174,,,,
8,395391,135,,,,
8,200198,57,,,,
8,197351,53,,,,
8,227514,59,,,,
8,235290,59,,,,
8,354904,86,,,,
8,562903,143,,,,
8,250591,61,,,,
8,302367,85,,,,
8,302709,79,,,,
8,577652,167,,,,
8,294783,79,,,,
8,453350,114,,,,
8,1671675,437,,,,
8,288450,91,,,,
8,79195,32,,,,
8,85489,21,,,,
8,25055,7,,,,
8,21540,5,,,,
8,19527,5,,,,
8,51419,10,,,,
8,63041,13,,,,
8,129893,34,,,,
8,107118,22,,,,
8,52323,11,,,,
8,47835,10,,,,
8,23116,5,,,,
8,21714,4,,,,
8,48,1,,,,
8,35571,8,,,,
8,36930,8,,,,
8,18385,4,,,,
8,172053,35,,,,
8,65622,14,,,,
8,87144,18,,,,
8,25351,6,,,,
8,11132,2,,,,
8,26571,7,,,,
8,15758,4,,,,
8,26770,6,,,,
8,826,1,,,,
8,34923,6,,,,
8,25019,4,,,,
8,37203,10,,,,
8,46764,11,,,,
8,87248,20,,,,
8,34896,6,,,,
8,14176,4,,,,
8,18174,4,,,,
8,14954,3,,,,
8,45388,9,,,,
8,102155,30,,,,
8,10005,2,,,,
8,6060,1,,,,
8,13537,3,,,,
8,6844,1,,,,
8,14854,4,,,,
8,7955,2,,,,
8,29174,6,,,,
8,14567,3,,,,
8,31107,7,,,,
8,9368,2,,,,
8,36259,8,,,,
8,3826,1,,,,
8,8205,2,,,,
8,11343,3,,,,
8,9495,2,,,,
8,4784,1,,,,
8,4744,1,,,,
8,4853,1,,,,
8,28036,5,,,,
8,53406,11,,,,
8,14753659,5545,,,,
8,21686226,8598,,,,
8,10160150,4032,,,,
8,24268019,9024,,,,
8,15748002,5636,,,,
8,18023376,6503,,,,
8,48106159,16820,,,,
8,15779396,5911,,,,
8,7440132,2939,,,,
8,2523780,987,,,,
8,19881505,8257,,,,
8,4911308,1654,,,,
8,2371834,848,,,,
8,17770786,5998,,,,
8,2597803,831,,,,
8,3612233,1191,,,,
8,3162510,1059,,,,
8,2178769,694,,,,
8,3008715,940,,,,
8,14817322,5336,,,,
8,11585413,3774,,,,
8,17380137,6128,,,,
8,24013530,8737,,,,
8,55638550,19222,,,,
8,16498787,5740,,,,
8,14257283,4837,,,,
8,20812174,6968,,,,
8,20513131,6795,,,,
8,6189627,2160,,,,
8,13640464,4512,,,,
8,24151581,7947,,,,
8,19732798,7320,,,,
8,15752088,5903,,,,
8,21741276,8254,,,,
8,27080685,10506,,,,
8,23899960,9372,,,,
8,17656939,6746,,,,
8,2685641,1067,,,,
8,2010534,788,,,,
8,5588838,1767,,,,
8,8729491,3010,,,,
8,5213526,1848,,,,
8,1597502,560,,,,
8,3120139,1111,,,,
8,7401796,2735,,,,
8,13783743,4763,,,,
8,17717950,6386,,,,
8,15785097,5379,,,,
8,23391037,8415,,,,
8,3569672,1229,,,,
8,7205089,2472,,,,
8,4208264,1404,,,,
8,9346102,3273,,,,
8,29293057,9771,,,,
8,2731299,922,,,,
8,3923495,1240,,,,
8,4280064,1258,,,,
8,2371190,766,,,,
8,1839496,653,,,,
8,801720,269,,,,
8,2251258,755,,,,
8,1150997,351,,,,
8,1143449,342,,,,
8,1411769,400,,,,
8,626594,167,,,,
8,309537,91,,,,
8,301020,92,,,,
8,211080,56,,,,
8,27988251,9185,,,,
8,19282097,6404,,,,
8,22354363,7246,,,,
8,8591529,2985,,,,
8,15070313,4958,,,,
8,2492806,817,,,,
8,20573325,6888,,,,
8,8386329,2802,,,,
8,11814356,3986,,,,
8,9563177,3175,,,,
8,18318765,6094,,,,
8,6398929,1878,,,,
8,6057978,1723,,,,
8,6735112,2019,,,,
8,2478973,639,,,,
8,4398729,1214,,,,
8,9116118,2467,,,,
8,11737532,3206,,,,
8,5613744,1559,,,,
8,11464820,3303,,,,
8,4120930,1324,,,,
8,4840566,1353,,,,
8,19967646,5998,,,,
8,5459713,1507,,,,
8,2088293,643,,,,
8,2406312,808,,,,
8,1371767,439,,,,
8,951745,309,,,,
8,428490,149,,,,
8,1178653,347,,,,
8,1924701,552,,,,
8,717599,224,,,,
8,1523563,455,,,,
8,2401490,735,,,,
8,1792189,523,,,,
8,991588,356,,,,
8,1431986,450,,,,
8,1157428,388,,,,
8,700204,221,,,,
8,991395,279,,,,
8,229840,75,,,,
8,312039,89,,,,
8,893956,226,,,,
8,500924,159,,,,
8,263266,69,,,,
8,470658,115,,,,
8,699053,173,,,,
8,571124,141,,,,
8,879634,235,,,,
8,537814,152,,,,
8,307683,96,,,,
8,2040376,506,,,,
8,921752,234,,,,
8,2332231,660,,,,
8,918129,252,,,,
8,936350,246,,,,
8,180877,54,,,,
8,184292,52,,,,
8,147543,35,,,,
8,471609,114,,,,
8,530233,134,,,,
8,465388,141,,,,
8,318294,85,,,,
8,574609,140,,,,
8,383859,90,,,,
8,290937,70,,,,
8,686827,194,,,,
8,346584,95,,,,
8,522433,140,,,,
8,375203,99,,,,
8,1452945,414,,,,
8,453177,111,,,,
8,449795,126,,,,
8,343184,92,,,,
8,282957,65,,,,
8,360973,99,,,,
8,69987,16,,,,
8,408379,109,,,,
8,455254,117,,,,
8,306655,94,,,,
8,5870145,1454,,,,
8,2149096,463,,,,
8,1934695,444,,,,
8,1187470,260,,,,
8,1750639,409,,,,
8,960510,259,,,,
8,1460343,336,,,,
8,3755243,899,,,,
8,2878324,679,,,,
8,1733922,402,,,,
8,1195292,275,,,,
8,2289778,448,,,,
8,3543466,710,,,,
8,2657543,599,,,,
8,22563642,8563,,,,
8,30578658,10814,,,,
8,33488096,12633,,,,
8,55818193,20987,,,,
8,22292938,8764,,,,
8,42027381,15945,,,,
8,34535748,14016,,,,
8,15068510,6352,,,,
8,15221767,5699,,,,
8,5508520,1824,,,,
8,10623088,4406,,,,
8,4209674,1607,,,,
8,26039916,9035,,,,
8,7574008,2912,,,,
8,11276204,4461,,,,
8,3740485,1498,,,,
8,1355767,554,,,,
8,3902316,1257,,,,
8,3554294,1124,,,,
8,3503168,1037,,,,
8,4253072,1369,,,,
8,929282,299,,,,
8,543909,154,,,,
8,2764194,854,,,,
8,3447508,1005,,,,
8,3966238,1094,,,,
8,5905617,1693,,,,
8,2839582,831,,,,
8,1211625,375,,,,
8,457473,132,,,,
8,317783,94,,,,
8,1016640,299,,,,
8,3249768,968,,,,
8,1729640,499,,,,
8,2402851,643,,,,
8,3540080,1066,,,,
8,1454051,404,,,,
8,2465559,698,,,,
8,1947230,600,,,,
8,1543395,486,,,,
8,2409147,733,,,,
8,1838346,559,,,,
8,3743470,1012,,,,
8,3645269,1011,,,,
8,1259068,377,,,,
8,1163597,347,,,,
8,880698,223,,,,
8,1057314,329,,,,
8,641648,178,,,,
8,792486,233,,,,
8,1024618,262,,,,
8,224441,66,,,,
8,235972,88,,,,
8,531533,148,,,,
8,747390,213,,,,
8,29917,10,,,,
8,751880,224,,,,
8,1596391,492,,,,
8,3243415,942,,,,
8,1783867,528,,,,
8,727777,220,,,,
8,1132797,339,,,,
8,413535,135,,,,
8,453629,154,,,,
8,1280419,377,,,,
8,2025406,572,,,,
8,296456,79,,,,
8,393262,106,,,,
8,129565,35,,,,
8,285347,65,,,,
8,1381445,329,,,,
8,351296,94,,,,
8,617187,174,,,,
8,327286,95,,,,
8,40938,13,,,,
8,56649,20,,,,
8,76068,27,,,,
8,84161,28,,,,
8,31841,8,,,,
8,174445,43,,,,
8,547003,101,,,,
8,624552,144,,,,
8,1356715,311,,,,
8,3025774,653,,,,
8,1800482,379,,,,
8,1850090,361,,,,
8,2148453,477,,,,
8,1364850,343,,,,
8,9088294,3163,,,,
8,6419730,2422,,,,
8,10311973,3792,,,,
8,10796471,3834,,,,
8,13651501,4537,,,,
8,10593202,4255,,,,
8,12204789,4666,,,,
8,11170676,4462,,,,
8,28272702,11482,,,,
8,15077379,5919,,,,
8,26015802,10354,,,,
8,13110286,5308,,,,
8,4343742,1636,,,,
8,14077338,5755,,,,
8,8368844,3331,,,,
8,7915562,3430,,,,
8,12403993,4751,,,,
8,11058138,4019,,,,
8,11586712,3970,,,,
8,288,1,,,,
8,3036043,1128,,,,
8,10153914,3608,,,,
8,14750790,4891,,,,
8,9397556,3231,,,,
8,20775247,7485,,,,
8,16994987,7307,,,,
8,26473177,10556,,,,
8,130664705,53356,,,,
8,15089859,5807,,,,
8,12147842,4169,,,,
8,9726225,3195,,,,
8,88139908,24435,,,,
8,1873288,651,,,,
8,421867,117,,,,
8,4646607,1275,,,,
8,20607420,6844,,,,
8,8131860,2777,,,,
8,5540384,1958,,,,
8,9367499,3118,,,,
8,2692357,1061,,,,
8,3687499,1231,,,,
8,8005747,2691,,,,
8,18613203,6532,,,,
8,24,1,,,,
8,3189857,1102,,,,
8,118271929,37993,,,,
8,5479273,1814,,,,
8,13156983,4391,,,,
8,4256931,1324,,,,
8,106004891,32268,,,,
8,1069546,364,,,,
8,2322431,776,,,,
8,3792448,1317,,,,
8,9813001,3434,,,,
8,5129270,1872,,,,
8,4588215,1451,,,,
8,154773773,48807,,,,
8,51271879,15056,,,,
8,25398726,6607,,,,
8,7275036,1820,,,,
8,6057715,1692,,,,
8,4213208,1327,,,,
8,6062866,1989,,,,
8,4745357,1498,,,,
8,4340321,1294,,,,
8,34259809,13231,,,,
8,48190645,18497,,,,
8,37291444,14902,,,,
8,16293842,6249,,,,
8,16716963,6319,,,,
8,36528282,13573,,,,
8,56039890,21080,,,,
8,12951976,5222,,,,
8,4456380,1883,,,,
8,8686683,3315,,,,
8,6700383,2535,,,,
8,5282383,2005,,,,
8,7477165,2738,,,,
8,3714813,1370,,,,
8,7768662,2954,,,,
8,1334515,408,,,,
8,1343934,393,,,,
8,3527984,1014,,,,
8,8383770,2662,,,,
8,6480878,2093,,,,
8,3017285,916,,,,
8,2476517,740,,,,
8,2663112,770,,,,
8,3225862,1029,,,,
8,2799729,853,,,,
8,4115456,1281,,,,
8,3545530,1290,,,,
8,5878296,2083,,,,
8,16857296,6010,,,,
8,3823519,1257,,,,
8,6561203,2107,,,,
8,5072490,1709,,,,
8,6751321,2313,,,,
8,2356582,812,,,,
8,672536,194,,,,
8,1482110,457,,,,
8,3018879,1018,,,,
8,1186184,323,,,,
8,332085,83,,,,
8,363594,99,,,,
8,237868,73,,,,
8,54165,16,,,,
8,48,1,,,,
8,263216,85,,,,
8,242361,84,,,,
8,340632,94,,,,
8,91696,25,,,,
8,289882,86,,,,
8,439873,137,,,,
8,398403,128,,,,
8,586792,166,,,,
8,553758,166,,,,
8,326569,110,,,,
8,445767,114,,,,
8,621178,208,,,,
8,762955,266,,,,
8,1008211,307,,,,
8,279286,81,,,,
8,389418,112,,,,
8,172818,38,,,,
8,127216,25,,,,
8,318812,74,,,,
8,827729,212,,,,
8,1049391,250,,,,
8,844610,214,,,,
8,1154752,252,,,,
8,1223402,268,,,,
8,1023203,234,,,,
8,891414,204,,,,
8,1355867,284,,,,
8,1046843,244,,,,
8,2145086,518,,,,
8,6438357,1564,,,,
8,3004762,683,,,,
8,2589555,618,,,,
8,6697130,2551,,,,
8,8242294,3060,,,,
8,10431061,3780,,,,
8,20163301,7387,,,,
8,9611378,3185,,,,
8,18573461,6133,,,,
8,33910508,11014,,,,
8,5334419,1807,,,,
8,56240893,18597,,,,
8,42066889,14669,,,,
8,8746232,2934,,,,
8,24924872,7742,,,,
8,1869262,593,,,,
8,2187398,656,,,,
8,5712736,1657,,,,
8,5879580,1707,,,,
8,31200138,8891,,,,
8,2811497,790,,,,
8,1318101,320,,,,
8,6356123,1735,,,,
8,1445625,320,,,,
8,1872354,453,,,,
8,2610612,672,,,,
8,761500,191,,,,
8,697572,162,,,,
8,5108673,1281,,,,
8,1675564,436,,,,
8,2855526,843,,,,
8,3746999,1102,,,,
8,1751405,514,,,,
8,6181812,1878,,,,
8,921887,302,,,,
8,1801223,484,,,,
8,2214609,641,,,,
8,2985457,867,,,,
8,437231,126,,,,
8,1264438,357,,,,
8,2523130,760,,,,
8,1563162,444,,,,
8,2036407,565,,,,
8,4365823,1260,,,,
8,3375620,887,,,,
8,11325302,3975,,,,
8,6476334,2070,,,,
8,8085969,2515,,,,
8,5240936,1626,,,,
8,9866741,3546,,,,
8,6534116,2151,,,,
8,7241295,2485,,,,
8,18360440,5942,,,,
8,21030521,7304,,,,
8,30590167,9206,,,,
8,10253114,3062,,,,
8,47706189,14907,,,,
8,9562374,2897,,,,
8,5418138,1914,,,,
8,10940792,3439,,,,
8,21658152,7280,,,,
8,26589901,8836,,,,
8,34652927,11504,,,,
8,48696302,16915,,,,
8,18403169,6740,,,,
8,28461900,9918,,,,
8,13034178,4680,,,,
8,31544123,10896,,,,
8,13373045,4989,,,,
8,15864330,5777,,,,
8,5773262,2246,,,,
8,816402,259,,,,
8,1692917,537,,,,
8,1567003,511,,,,
8,1567735,491,,,,
8,390071,129,,,,
8,1684159,434,,,,
8,612904,168,,,,
8,1053636,287,,,,
8,1077129,319,,,,
8,923704,265,,,,
8,1494418,440,,,,
8,955572,268,,,,
8,1281344,376,,,,
8,1929634,537,,,,
8,578966,184,,,,
8,237385,81,,,,
8,136,1,,,,
8,1460877,436,,,,
8,780877,229,,,,
8,979245,279,,,,
8,2141310,614,,,,
8,765973,258,,,,
8,635704,210,,,,
8,70723,19,,,,
8,182269,50,,,,
8,27683,7,,,,
8,79968,27,,,,
8,188941,51,,,,
8,202503,49,,,,
8,226907,64,,,,
8,297228,81,,,,
8,738994,187,,,,
8,493133,145,,,,
8,178346,46,,,,
8,398443,106,,,,
8,76140,20,,,,
8,192287,47,,,,
8,218702,51,,,,
8,241654,64,,,,
8,545667,127,,,,
8,298495,66,,,,
8,435493,111,,,,
8,161572,44,,,,
8,140593,43,,,,
8,124550,35,,,,
8,194729,47,,,,
8,231642,55,,,,
8,142237,27,,,,
8,77554,18,,,,
8,27909,5,,,,
8,66725,12,,,,
8,61605,12,,,,
8,67994,12,,,,
8,26779,5,,,,
8,37219,9,,,,
8,200454,40,,,,
8,132262,35,,,,
8,108613,27,,,,
8,149215,31,,,,
8,131131,29,,,,
8,44842,10,,,,
8,625,1,,,,
8,69079,16,,,,
8,44403,11,,,,
8,56722,11,,,,
8,26380,5,,,,
8,33540,6,,,,
8,28978,5,,,,
8,191574,30,,,,
8,29902,7,,,,
8,18604,4,,,,
8,56,1,,,,
8,53405,12,,,,
8,52622,13,,,,
8,38374,8,,,,
8,21943,4,,,,
8,34640,6,,,,
8,48,1,,,,
8,7628,2,,,,
8,11033,3,,,,
8,20687,5,,,,
8,25808,6,,,,
8,24091,5,,,,
8,8567,2,,,,
8,16256,4,,,,
8,4359,1,,,,
8,49754,9,,,,
8,86395,15,,,,
8,46201,7,,,,
8,110312,19,,,,
8,73793,14,,,,
8,2051,1,,,,
8,159787,30,,,,
8,67112,13,,,,
8,37452,7,,,,
8,11158767,3376,,,,
8,10719719,3355,,,,
8,3807994,1281,,,,
8,3820478,1283,,,,
8,4336360,1438,,,,
8,16767974,5957,,,,
8,11253513,4205,,,,
8,30430954,10396,,,,
8,5791472,2173,,,,
8,23286762,7374,,,,
8,6151660,1649,,,,
8,3347441,1019,,,,
8,1999828,689,,,,
8,3924949,1025,,,,
8,19011318,5411,,,,
8,2542679,641,,,,
8,1488686,364,,,,
8,2316738,639,,,,
8,7032544,2028,,,,
8,1316806,448,,,,
8,2126329,643,,,,
8,927390,259,,,,
8,8136741,2376,,,,
8,1113488,349,,,,
8,977990,316,,,,
8,242706,61,,,,
8,2050897,541,,,,
8,1250489,341,,,,
8,782196,233,,,,
8,340913,92,,,,
8,431765,123,,,,
8,622587,192,,,,
8,368691,109,,,,
8,764849,195,,,,
8,294164,72,,,,
8,387297,107,,,,
8,330346,91,,,,
8,268813,71,,,,
8,177858,49,,,,
8,112,1,,,,
8,838644,248,,,,
8,703469,204,,,,
8,207601,55,,,,
8,116330,30,,,,
8,194398,49,,,,
8,345081,105,,,,
8,345244,87,,,,
8,568389,142,,,,
8,484359,149,,,,
8,434347,129,,,,
8,937168,263,,,,
8,782912,204,,,,
8,311350,95,,,,
8,210905,52,,,,
8,427130,138,,,,
8,178122,55,,,,
8,139042,43,,,,
8,109494,28,,,,
8,216619,53,,,,
8,136985,38,,,,
8,17274,4,,,,
8,16749,3,,,,
8,20484,4,,,,
8,18702,5,,,,
8,9305,3,,,,
8,16559,5,,,,
8,31214,6,,,,
8,9687,2,,,,
8,54015,12,,,,
8,315639,72,,,,
8,357822,72,,,,
8,53335,11,,,,
8,113808,25,,,,
8,252190,46,,,,
8,166122,35,,,,
8,56535,11,,,,
8,130680,26,,,,
8,32,1,,,,
8,227190,48,,,,
8,252060,48,,,,
8,255694,49,,,,
8,272294,67,,,,
8,228206,42,,,,
8,442419,87,,,,
8,270076,75,,,,
8,561502,112,,,,
8,1509636,337,,,,
8,813201,173,,,,
8,988588,216,,,,
8,7885947,2691,,,,
8,11054049,3834,,,,
8,27744591,9869,,,,
8,16859771,6422,,,,
8,14692565,5509,,,,
8,43186568,16223,,,,
8,77630429,27822,,,,
8,18988224,6939,,,,
8,7340199,2756,,,,
8,3473928,1265,,,,
8,19952255,7851,,,,
8,11144348,4631,,,,
8,17629491,6611,,,,
8,43382440,15451,,,,
8,11891619,4645,,,,
8,20716121,7724,,,,
8,5960740,1758,,,,
8,4278709,1231,,,,
8,10018263,2995,,,,
8,14360501,4292,,,,
8,14569407,4488,,,,
8,11870098,3679,,,,
8,6455460,2097,,,,
8,5503039,1685,,,,
8,2004094,631,,,,
8,887823,249,,,,
8,2613866,764,,,,
8,2243021,678,,,,
8,955533,285,,,,
8,3208275,997,,,,
8,4681814,1510,,,,
8,2188676,692,,,,
8,2444361,747,,,,
8,9166295,2928,,,,
8,4147885,1384,,,,
8,2171896,624,,,,
8,6035610,1757,,,,
8,1828093,592,,,,
8,521938,178,,,,
8,373810,112,,,,
8,681250,211,,,,
8,835386,273,,,,
8,613020,192,,,,
8,676433,243,,,,
8,334483,100,,,,
8,133675,44,,,,
8,230724,58,,,,
8,219093,59,,,,
8,146690,40,,,,
8,119329,34,,,,
8,105119,25,,,,
8,149060,33,,,,
8,458149,113,,,,
8,178324,48,,,,
8,147248,42,,,,
8,175524,55,,,,
8,120119,41,,,,
8,88003,24,,,,
8,16106,5,,,,
8,21917,7,,,,
8,65662,18,,,,
8,433654,100,,,,
8,783186,165,,,,
8,348383,75,,,,
8,598181,122,,,,
8,664684,151,,,,
8,582879,141,,,,
8,380353,81,,,,
8,288676,61,,,,
8,342707,71,,,,
8,32,1,,,,
8,990296,227,,,,
8,293646,53,,,,
8,264467,46,,,,
8,122724,21,,,,
8,136531,26,,,,
8,195643,30,,,,
8,23995491,7942,,,,
8,14458040,4958,,,,
8,11956657,4004,,,,
8,4341066,1529,,,,
8,24178965,7971,,,,
8,3975500,1327,,,,
8,11207976,3809,,,,
8,20245128,6857,,,,
8,23509602,8067,,,,
8,9823759,3283,,,,
8,12662989,4342,,,,
8,2645788,849,,,,
8,4538890,1316,,,,
8,2748571,978,,,,
8,1378293,586,,,,
8,2113447,709,,,,
8,2216890,742,,,,
8,1142979,484,,,,
8,529982,212,,,,
8,839401,288,,,,
8,1912963,523,,,,
8,1316149,383,,,,
8,692227,214,,,,
8,141542,52,,,,
8,874157,267,,,,
8,2112490,693,,,,
8,513632,189,,,,
8,198791,73,,,,
8,254942,93,,,,
8,429472,151,,,,
8,166975,59,,,,
8,120283,47,,,,
8,599131,200,,,,
8,611558,235,,,,
8,373810,140,,,,
8,184,1,,,,
8,176,1,,,,
8,517651,165,,,,
8,232915,89,,,,
8,416348,121,,,,
8,520793,176,,,,
8,725932,271,,,,
8,4941699,1454,,,,
8,464073,123,,,,
8,706866,186,,,,
8,828082,213,,,,
8,337215,93,,,,
8,211558,53,,,,
8,366647,109,,,,
8,458534,116,,,,
8,392451,114,,,,
8,5559166,1413,,,,
8,3432135,925,,,,
8,2120470,601,,,,
8,1257148,340,,,,
8,1687799,498,,,,
8,6466896,2018,,,,
8,7486434,2560,,,,
8,5884621,1889,,,,
8,18806086,6248,,,,
8,8477231,2840,,,,
8,10666483,3370,,,,
8,9901578,3118,,,,
8,14924776,4815,,,,
8,80619326,24359,,,,
8,5600434,1854,,,,
8,9471463,2751,,,,
8,3498515,1283,,,,
8,2610316,748,,,,
8,2545712,895,,,,
8,8643788,2696,,,,
8,2096891,722,,,,
8,2073665,704,,,,
8,3240993,1062,,,,
8,7732612,2571,,,,
8,1648469,594,,,,
8,2399438,770,,,,
8,6436831,2115,,,,
8,2424883,859,,,,
8,3122788,929,,,,
8,2343866,762,,,,
8,3805203,1279,,,,
8,3504995,1157,,,,
8,5554139,1817,,,,
8,13050326,4181,,,,
8,2910438,1037,,,,
8,3963559,1349,,,,
8,6049169,2035,,,,
8,2086743,673,,,,
8,3501440,1197,,,,
8,3094528,1193,,,,
8,2645491,936,,,,
8,816044,310,,,,
8,943407,333,,,,
8,1399617,483,,,,
8,550812,189,,,,
8,924322,363,,,,
8,1614407,569,,,,
8,1059277,400,,,,
8,3589208,1266,,,,
8,2203249,805,,,,
8,3470607,1227,,,,
